idSite	campaign_id	banner_id	AdDeviceType	banner_group_id	AdKeywordId	AdPosition	AdPositionType	AdRegionId	AdRetargetindId	AdPlacement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	impressions	clicks	spend	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	account_login	AdRegionName	avg_impression_position_round	avg_click_position_round	effective_impressions	AdGroupId_name	AdCampaignId_name	AdKeywordId_name	campaign_type
35	23843435069800679	23843445982610679	mobile	23843445982600679	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.16	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	60 секунд потолок лента Инст	Ремаркетинг 2	none	ретаргетинг
35	23843435069800679	23843445982610679	mobile	23843445982600679	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.14	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	60 секунд потолок лента Инст	Ремаркетинг 2	none	ретаргетинг
35	23843454470040679	23843454470670679	mobile	23843454470230679	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.48	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	Фейсбук лента видео	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454470670679	mobile	23843454470230679	none	none	suggested_video	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	3	0	1.04	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	3	Фейсбук лента видео	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454470670679	mobile	23843454470230679	none	none	suggested_video	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	4	0	0.62	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	4	Фейсбук лента видео	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	desktop	23843454679390679	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	2.19	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	tablet	23843454679390679	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	3.45	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	mobile	23843454679390679	none	none	feed	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	2	0	0.67	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	2	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	mobile	23843454679390679	none	none	instant_article	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	2	0	0.1	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	2	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	mobile	23843454679390679	none	none	instant_article	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.04	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	desktop	23843454679390679	none	none	right_hand_column	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	2	0	0.56	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	2	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	mobile	23843454679390679	none	none	suggested_video	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	4	0	0.24	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	4	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	tablet	23843454679390679	none	none	suggested_video	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	1	0	0.1	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	1	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454679400679	mobile	23843454679390679	none	none	suggested_video	none	none	facebook	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	2	0	0.43	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	2	Фейсбук лента картинки	Obustrojstvo_doma	none	другое
35	23843454470040679	23843454692310679	mobile	23843454692290679	none	none	feed	none	none	instagram	none	facebook_ads	none	none	none	cpc	none	facebook	2019-07-10	21	0	39.12	252	1	none	Campaigns	facebook/cpc	facebook	cpc	act_2182110452051061	none	none	none	21	Инстаграм лента видео	Obustrojstvo_doma	none	другое
