idSite	campaign_id	banner_id	AdDeviceType	AdGroupId	AdKeywordId	AdPosition	AdPositionType	AdRegionId	AdRetargetindId	AdPlacement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	shows	clicks	spent	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	main_acc	AdRegionName	avg_impression_position_round	avg_click_position_round	effective_impressions	AdGroupId_name	AdCampaignId_name	AdKeywordId_name	campaign_type
143	16371991	40450732	none	none	none	none	none	none	none	none	none	tm_ads	none	none	40450732	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты Одноклас пост 9 мая бесплатно анонс	none	другое
143	16887767	41389091	none	none	none	none	none	none	none	none	none	tm_ads	none	none	41389091	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты прил День города 150р	none	другое
143	17066972	41546523	none	none	none	none	none	none	none	none	none	tm_ads	none	none	41546523	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты пост ОК Встреча с любимыми	none	другое
143	17196324	41768467	none	none	none	none	none	none	none	none	none	tm_ads	none	none	41768467	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты ОК дет конкурс	none	другое
143	17466063	42198643	none	none	none	none	none	none	none	none	none	tm_ads	none	none	42198643	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты Одноклас пост Юбилейная машина	none	другое
143	13005569	34926694	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34926694	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Аэро	none	другое
143	13008959	34932754	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34932754	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Питомцы	none	другое
143	13075518	35050890	none	none	none	none	none	none	none	none	none	tm_ads	none	none	35050890	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Пригороды	none	другое
143	13171277	35181556	none	none	none	none	none	none	none	none	none	tm_ads	none	none	35181556	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	День детей	none	другое
143	16242573	40269986	none	none	none	none	none	none	none	none	none	tm_ads	none	none	40269986	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	СПБ клиенты одноклас пост розыгрыш	none	другое
143	12875723	34706924	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34706924	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Минивэн	none	другое
143	12902627	34773949	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34773949	cpc	12902627	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Андроид_аукцион	none	другое
143	12902983	34774654	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34774654	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Айос_аукцион	none	другое
143	12905043	34778894	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34778894	cpc	none	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Айос_аукцион_телефончики	none	другое
143	12905284	34779320	none	none	none	none	none	none	none	none	none	tm_ads	none	none	34779320	cpc	12905284	mytarget	2019-07-10	0	0	0.00	91	1	none	Campaigns	mytarget/cpc	mytarget	cpc	106ff9c109@agency_client	none	none	none	0	none	Андроид_аукцион_телефончики	none	другое
