source_medium	campaignName	campaignKeyword	deviceType_standard	day_of_week	campaignContent	nb_conversions	nb_visits	conversion_rate
yandex/cpc	not_set	шоколадный танк	not_set	not_set	not_set	187	235	79.57
yandex/cpc	not_set	конфаэль конфеты официальный	not_set	not_set	not_set	32	22	145.45
none	not_set	(adwords) sadovnikpro.ru	not_set	not_set	not_set	10	163	6.13
none	not_set	кондитерский интернет магазин	not_set	not_set	not_set	70	117	59.83
none	not_set	сладкие подарки на 8 марта	not_set	not_set	not_set	55	68	80.88
none	not_set	что можно подарить маме	not_set	not_set	not_set	32	157	20.38
yandex/cpc	not_set	подарки на 8 марта купить	not_set	not_set	not_set	80	159	50.31
none	not_set	подарить девушке	not_set	not_set	not_set	119	537	22.16
none	not_set	шоколадные наборы к 8 марта	not_set	not_set	not_set	29	27	107.41
none	not_set	что подарить свекрови	not_set	not_set	not_set	6	31	19.35
none	not_set	(adwords) nyaskory.ru	not_set	not_set	not_set	27	116	23.28
yandex/cpc	not_set	что подарить одноклассницам на 8 марта	not_set	not_set	not_set	9	65	13.85
none	not_set	что подарить маме день	not_set	not_set	not_set	9	39	23.08
none	not_set	необычные подарки на 8 марта	not_set	not_set	not_set	130	308	42.21
none	not_set	(adwords) proflady.ru	not_set	not_set	not_set	3	25	12
googleads.g.doubleclick.net/campaigns	not_set	(adwords) nacrestike.ru	not_set	not_set	not_set	6	32	18.75
none	not_set	букет из конфет купить в москве	not_set	not_set	not_set	34	49	69.39
yandex/cpc	not_set	что подарить бабушке	not_set	not_set	not_set	17	87	19.54
