idSite	campaign_id	banner_id	AdDeviceType	AdGroupId	AdKeywordId	AdPosition	AdPositionType	AdRegionId	AdRetargetindId	AdPlacement	AdTargetId	AdvertisingSystem	DRF	utm_content	utm_term	utm_medium	utm_campaign	utm_source	date	impressions	clicks	spent	integration_id	sign	avg_impression_position	referrerTypeName	source_medium	marketing_source	traffic_channel	account_id	AdRegionName	avg_impression_position_round	avg_click_position_round	effective_impressions	AdGroupId_name	AdCampaignId_name	AdKeywordId_name	campaign_type
143	1011981268	57117798	none	none	none	none	none	none	none	vk.com	none	vk_ads	none	none	none	cpc	none	vk	2019-07-10	19178	19	1738.57	73	1	none	Campaigns	vk/cpc	vk	cpc	1604819237	none	none	none	19178	none	СПБ клиенты прил Andr	none	другое
143	1012632009	56882425	none	none	none	none	none	none	none	vk.com	none	vk_ads	none	none	none	cpc	none	vk	2019-07-10	892	0	0.00	73	1	none	Campaigns	vk/cpc	vk	cpc	1604819237	none	none	none	0	none	МСК_водители_ушедшие_20000	none	другое
143	1012659669	57036868	none	none	none	none	none	none	none	vk.com	none	vk_ads	none	none	none	cpc	none	vk	2019-07-10	9587	13	289.26	73	1	none	Campaigns	vk/cpc	vk	cpc	1604819237	none	none	none	9587	none	КЗ клиенты прил пост	none	другое
